Pl. Board,Factory+Buyer,30-Apr-25
FFL2,FFL2H & M HENNES & MAURITAZ GBC AB,18186
JAL,-,7686
JKL2,JKL2C & A BUYING GMBH & CO. KG,13460
MFL,-,24710
-,-,64042
