Pl. Board,Factory+Buyer,30-Apr-25
FFL2,FFL2H & M HENNES & MAURITAZ GBC AB,533988
JAL,-,207821
JFL,-,56543
JKL,-,119044
JKL2,-,475549
MFL,-,191418
-,-,1584364
