Pl. Board,Factory+Buyer,30-Apr-25
FFL2,FFL2H & M HENNES & MAURITAZ GBC AB,484197
JAL,-,537248
JFL,-,161548
JKL,-,186320
JKL2,-,331333
MFL,-,211826
-,-,1912472
