Pl. Board,Factory+Buyer,30-Apr-25
FFL2,FFL2H & M HENNES & MAURITAZ GBC AB,6511
JAL,JALH & M HENNES & MAURITAZ GBC AB,10415
JFL,JFLASDA STORE LTD.,4971
JKL,JKLGUESS EUROPE SAGL,1310
MFL,MFLVF CORPORATION,7218
-,-,30425
