Pl. Board,Factory+Buyer,30-Apr-25
FFL2,FFL2H & M HENNES & MAURITAZ GBC AB,140185
JAL,-,59935
JFL,-,630374
JKL,-,210042
JKL2,-,302346
MFL,-,303871
-,-,1646753
