Buyer,30-Apr-25
ASDA STORE LTD.,282402
BESTSELLER A/S,134430
C & A BUYING GMBH & CO. KG,609906
G-STAR RAW CV,77537
GUESS EUROPE SAGL,340502
H & M HENNES & MAURITAZ GBC AB,566168
HUGO BOSS AG,69004
KMART AUSTRALIA LIMITED,19488
MQ MARQET AB,13050
NEXT SOURCING LTD.,18899
PUMA,217014
Ralph Lauren Corporation,10095
TOM TAILOR SOURCING LTD.,36871
VF CORPORATION,140598
-,2535964
