Buyer,30-Apr-25
ASDA STORE LTD.,359130
BESTSELLER A/S,34367
BIOWORLD International Ltd,23673
C & A BUYING GMBH & CO. KG,109563
GUESS EUROPE SAGL,2066
H & M HENNES & MAURITAZ GBC AB,129348
HUGO BOSS AG,14947
PUMA,19136
Ralph Lauren Corporation,6745
-,698975
