Buyer,30-Apr-25
ASDA STORE LTD.,556581
BESTSELLER A/S,305698
H & M HENNES & MAURITAZ GBC AB,196176
HUGO BOSS AG,26241
KMART AUSTRALIA LIMITED,9750
NEXT SOURCING LTD.,31638
PUMA,357533
Ralph Lauren Corporation,280
VF CORPORATION,160607
VOGUE SOURCING LIMITED,2250
-,1646753
