Buyer,30-Apr-25
ASDA STORE LTD.,84212
BESTSELLER A/S,667
BONITA GMBS & CO. KG,21070
C & A BUYING GMBH & CO. KG,451873
H & M HENNES & MAURITAZ GBC AB,41087
HUGO BOSS AG,64318
NEXT SOURCING LTD.,23443
PUMA,352845
Ralph Lauren Corporation,674
TOM TAILOR SOURCING LTD.,173161
VF CORPORATION,197294
VOGUE SOURCING LIMITED,17683
-,1428326
