Buyer,30-Apr-25
ASDA STORE LTD.,179886
C & A BUYING GMBH & CO. KG,553421
CAMEL ACTIVE / BHB-Fashion Service Gmbh,2063
G-STAR RAW CV,13803
GUESS EUROPE SAGL,30884
H & M HENNES & MAURITAZ GBC AB,608202
HUGO BOSS AG,38746
KMART AUSTRALIA LIMITED,17994
MQ MARQET AB,8795
NEXT SOURCING LTD.,23983
Ralph Lauren Corporation,1628
VF CORPORATION,72230
VOGUE SOURCING LIMITED,32728
-,1584364
