Buyer,30-Apr-25
ASDA STORE LTD.,265098
BESTSELLER A/S,10794
C & A BUYING GMBH & CO. KG,283459
GUESS EUROPE SAGL,25200
H & M HENNES & MAURITAZ GBC AB,959495
HUGO BOSS AG,79237
KMART AUSTRALIA LIMITED,20394
NEW FRONTIER,75990
NEXT SOURCING LTD.,35316
Ralph Lauren Corporation,14246
TOM TAILOR SOURCING LTD.,40010
VF CORPORATION,103233
-,1912472
